id,sequence,question_id_2/id,question_id/id,score,quizz_mark,value
survey_label_99,,,survey_question_22,3,,a) En un antiguo convento de los Templarios.
survey_label_98,1,,survey_question_18,,,Ninguna
survey_label_97,,,survey_question_21,20,,90-100%
survey_label_96,,,survey_question_21,14,,80-90%
survey_label_95,,,survey_question_21,12,,70-80%
survey_label_94,,,survey_question_21,8,,60-70%
survey_label_93,,,survey_question_21,4,,50-60%
survey_label_92,,,survey_question_21,,,0-50%
survey_label_91,,,survey_question_20,10,,90-100%
survey_label_90,,,survey_question_20,8,,80-90%
survey_label_89,,,survey_question_20,6,,70-80%
survey_label_88,,,survey_question_20,4,,60-70%
survey_label_87,,,survey_question_20,2,,50-60%
survey_label_86,,,survey_question_20,,,0-50%
survey_label_85,,,survey_question_19,,,Principalmente Organizativos
survey_label_84,,,survey_question_19,10,,25% Pedagógicos / 75% Organizativos
survey_label_83,,,survey_question_19,30,,75% Pedagógicos / 25% Organizativos
survey_label_82,,,survey_question_19,20,,Principalmente Pedagógicos
survey_label_81,5,,survey_question_18,40,,Cuatro o más
survey_label_80,4,,survey_question_18,30,,Tres
survey_label_79,3,,survey_question_18,20,,Dos
survey_label_78,2,,survey_question_18,10,,Una
survey_label_77,3,,survey_question_17,20,,Dos o más
survey_label_76,2,,survey_question_17,10,,Una
survey_label_75,1,,survey_question_17,,,Ninguna
survey_label_74,,,survey_question_16,20,,Uno o más
survey_label_73,,,survey_question_16,,,Ninguno
survey_label_72,6,,survey_question_15,30,,90-100%
survey_label_71,5,,survey_question_15,25,,80-90%
survey_label_70,4,,survey_question_15,20,,70-80%
survey_label_69,3,,survey_question_15,15,,60-70%
survey_label_68,2,,survey_question_15,10,,50-60%
survey_label_67,1,,survey_question_15,,,0-50%
survey_label_66,,,survey_question_14,30,,90-100%
survey_label_65,,,survey_question_14,25,,80-90%
survey_label_64,,,survey_question_14,20,,70-80%
survey_label_63,,,survey_question_14,15,,60-70%
survey_label_62,,,survey_question_14,10,,50-60%
survey_label_61,,,survey_question_14,,,0-50%
survey_label_208,,,survey_question_40,,,d) Ninguna de las respuestas es correcta.
survey_label_207,,,survey_question_40,,,c) -4/12
survey_label_206,,,survey_question_40,,,b) 4/3
survey_label_205,,,survey_question_40,,,a) 3/4
survey_label_204,,,survey_question_39,,,d) Ninguna de las respuestas es correcta
survey_label_203,,,survey_question_39,,,c) Desarrollo amarillo
survey_label_202,,,survey_question_39,,,b) Desarrollo verde
survey_label_201,,,survey_question_39,,,a) Desarrollo rojo
survey_label_200,,,survey_question_38,,,d) Ninguna de las respuestas es correcta
survey_label_199,,,survey_question_38,,,c) 42
survey_label_198,,,survey_question_38,,,b) 22
survey_label_197,,,survey_question_38,,,a) 24 
survey_label_196,,,survey_question_37,,,d) Ninguna de las respuestas es correcta
survey_label_195,,,survey_question_37,,,c) -2
survey_label_194,,,survey_question_37,,,b) 0
survey_label_193,,,survey_question_37,,,a) 18
survey_label_192,,,survey_question_36,,,d) Ninguna de las respuestas es correcta
survey_label_191,,,survey_question_36,,,c) 2m2
survey_label_190,,,survey_question_36,,,b) 6m2
survey_label_189,,,survey_question_36,,,a) 4m2
survey_label_188,,,survey_question_35,,,d) Ninguna de las respuestas es correcta
survey_label_187,,,survey_question_35,,,c) Subió  -53metros. 
survey_label_186,,,survey_question_35,,,b) Subió 53 metros.
survey_label_185,,,survey_question_35,,,a) Bajó -97 metros.
survey_label_184,,,survey_question_34,-10,,f) Racional
survey_label_183,,,survey_question_34,-10,,e) Lógico
